Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
4,584.80,62300.81,170528.79,9945.27,80.48,4,309701309.30,3,10644500.77,23549.77,80.05,2103
5,221.31,313344.35,303364.67,387.21,77.05,3,481059412.90,1,9833920.63,42219.47,33.02,1046
3,785.93,354237.76,271851.98,9980.34,53.71,2,418797234.20,3,7183171.18,47302.55,55.84,2825
7,532.66,93028.38,194400.63,2658.35,93.68,1,471789273.30,1,10207631.29,31473.47,7.89,808
2,463.70,177163.72,302945.01,4306.33,58.73,2,300873218.10,2,1342107.75,47171.16,89.03,1935
3,225.45,153658.78,171482.41,6637.21,75.02,2,293959120.60,2,1889632.85,17357.33,97.61,1986
1,856.76,284135.43,276425.43,4406.85,73.41,1,46317276.74,2,4230714.77,48163.81,57.52,2918
1,513.38,51877.10,394132.62,2410.40,52.97,1,137055534.80,3,11906778.57,36437.10,86.08,3669
7,949.40,189484.79,166867.80,9010.42,85.87,3,72910528.79,1,18036609.38,10232.11,96.95,4834
2,487.74,439129.15,432574.86,6001.56,89.07,2,318051192.50,2,13635835.70,15641.38,78.37,4623
3,212.87,382998.64,47612.32,9785.00,90.98,2,249606341.40,2,18830801.25,15259.20,65.38,1060
2,542.26,1532.23,384715.02,7792.14,77.72,3,459863383.90,3,7183171.39,18414.92,42.35,4145
2,360.16,497536.93,283344.69,6058.94,97.05,3,374818749.30,3,4483437.29,1702.73,1.56,4810
1,651.80,495953.65,270757.39,4095.59,65.74,3,223151843.10,3,5886375.18,18985.42,21.24,44
5,595.78,223084.01,87865.05,7001.18,73.68,3,205777815.80,3,2439937.46,22278.57,65.37,46
1,529.44,317673.99,342896.46,4713.29,57.18,1,11680589.60,2,14098368.75,21000.55,37.39,2083
6,424.72,346975.07,406192.01,4743.20,88.94,3,349038502.60,2,16605898.32,34407.53,49.28,2587
7,928.73,199471.66,341284.49,2247.60,56.84,3,199496714.00,3,16447458.93,47375.92,92.09,3076
3,992.33,113746.93,106814.12,160.48,76.48,2,251554446.90,3,12027597.59,38024.89,4.97,2696
5,737.32,439014.80,420634.10,4406.70,54.40,2,197890267.70,2,449295.08,32532.88,12.28,3796
7,416.17,253699.58,287500.83,708.00,93.36,1,471038651.70,1,2707576.35,722.89,87.24,139
2,221.47,312179.95,279807.52,4263.69,75.48,2,11176176.46,1,9784483.73,24853.57,1.80,2442
1,86.88,391315.63,105837.59,3751.24,50.98,3,483011793.10,1,8416102.86,17522.06,56.57,1554
7,626.65,450467.18,332461.82,9440.85,89.44,2,433426624.40,3,9117048.77,15073.08,68.21,4408
3,997.22,218509.09,126989.53,7975.91,98.88,3,388269224.90,1,14079956.48,36099.15,46.64,1025
7,382.04,205230.87,418968.09,33.09,57.18,1,439616689.10,3,11893906.97,8622.15,36.22,1087
4,148.63,480198.58,263099.58,4337.53,85.72,4,309942951.50,3,17427781.07,31582.90,3.46,4556
2,492.97,268780.11,36803.89,6643.89,53.19,1,281230695.80,3,4056520.83,22236.79,58.11,1882
3,331.70,170091.09,109775.97,4438.33,91.87,3,189665481.30,2,17752803.47,4695.63,77.76,3815
5,337.34,492058.24,124804.52,9973.74,71.93,2,72850911.97,2,8120814.74,24001.23,17.77,1885
1,512.89,214164.15,172937.92,725.86,62.48,3,409145103.40,3,18976657.10,40723.82,30.80,2693
4,298.48,442331.05,446315.31,2072.51,59.58,3,236838349.00,3,13135786.64,34818.45,15.22,3864
5,422.85,75395.50,167820.12,479.09,79.66,4,356880619.50,1,2650344.15,43230.02,86.58,2959
5,848.91,394681.84,277578.61,3046.17,55.70,3,267849015.40,3,1118261.20,13563.04,36.11,2601
3,697.32,198107.24,189345.63,5179.36,97.93,2,439185423.80,3,5563781.66,8592.39,54.74,4194
3,184.70,150432.96,121187.65,2141.94,69.72,1,447673765.00,2,9019649.94,16307.65,42.83,4524
5,587.05,448580.50,114564.23,794.60,65.89,4,348392367.60,1,13231010.63,25247.12,52.72,2571
4,300.85,495450.27,257495.14,267.88,90.90,3,178178248.50,1,7792029.36,4568.39,68.98,355
6,487.53,82929.26,43511.90,9649.16,85.42,2,334566261.20,2,10560372.87,38829.80,78.29,1249
4,664.35,187788.66,307642.62,6290.44,50.00,4,78261263.62,2,15780447.97,48917.51,93.12,2122
4,107.10,117016.72,81937.87,9857.24,66.99,1,229321733.30,2,12650956.33,5572.08,77.47,344
7,437.40,455485.63,221361.79,6059.38,81.28,4,242737856.70,3,19427305.01,37165.05,77.90,1528
2,877.29,268425.81,48894.88,1874.83,88.00,2,64858329.17,2,17815195.08,39475.99,3.31,2264
2,830.02,365599.44,168071.27,271.61,72.76,3,32878717.02,2,16022985.11,2579.50,99.63,117
3,899.96,261265.00,376869.80,2246.92,98.72,2,77707535.62,3,13506736.52,11056.47,74.25,2263
3,647.65,459226.75,253375.84,6213.82,99.08,1,377407822.40,3,10300068.82,42514.41,90.74,3481
5,356.39,1879.03,333060.75,2347.22,66.33,4,104972508.80,1,2248862.22,16236.66,37.75,2514
4,961.44,68463.85,408065.71,9404.76,59.87,1,156795670.50,3,1149621.96,7441.65,98.09,4743
1,479.07,76073.75,114506.66,5058.83,71.27,3,250994557.00,3,16586467.58,39434.37,37.20,1762
3,554.97,318308.87,127919.52,3059.01,95.66,3,96516451.66,2,1542764.80,21355.06,10.40,3858
3,797.04,296940.87,22314.85,6126.33,88.54,1,488773470.60,3,8319144.15,37777.96,94.31,1368
7,672.33,395179.48,401260.41,6005.26,68.56,4,285794603.60,2,12826973.90,1435.28,18.91,2041
6,594.46,362312.62,124179.31,359.58,97.03,2,395473540.80,2,7120964.49,2815.80,19.96,4547
2,792.18,83376.78,17527.15,3881.33,60.07,1,348458133.30,2,16917036.66,9589.50,28.67,2513
2,621.23,263110.34,389904.45,9916.62,78.04,4,424833696.20,2,13728284.17,2658.76,57.63,2961
3,75.25,60565.14,286351.95,7111.65,91.22,2,273666771.30,1,8068920.08,29072.21,84.76,1387
2,295.93,60421.27,302785.76,7850.67,83.72,3,138216335.40,3,5373486.44,30555.86,34.02,2196
6,198.85,80396.30,311922.22,6010.77,84.24,3,216074769.10,2,15700105.18,7604.77,36.60,4550
6,138.37,167573.88,283901.56,5569.21,68.97,4,415967868.70,2,19772368.65,48913.64,46.23,1847
2,281.10,329322.30,288060.26,4598.28,55.61,3,442526414.40,2,14288372.39,47449.25,72.85,4644
5,19.40,157203.94,173313.82,5608.17,55.06,1,493684206.00,2,134923.66,1835.21,52.29,3566
2,733.16,146451.59,311862.07,3094.83,99.83,1,274453447.20,2,797582.78,2045.25,32.51,3300
3,204.13,121371.92,1258.81,6726.08,84.93,4,149993764.60,2,7292442.66,4914.55,12.97,3387
3,54.60,44707.82,51083.45,711.10,94.08,2,358866706.60,2,7201258.49,27859.46,53.81,1822
4,302.72,190112.89,288600.01,8626.02,75.14,2,119862593.10,1,4831653.36,32964.72,29.64,2539
2,504.98,253825.42,413591.68,5775.46,95.41,4,17694423.97,2,7378506.05,41520.81,11.72,3937
2,101.17,310166.10,118360.11,5331.14,86.93,3,16458534.90,1,13305781.69,10177.53,77.98,4809
1,504.30,385689.21,428009.96,4259.55,90.77,2,170058447.00,1,14157116.65,220.82,94.04,1031
1,906.80,432119.22,294472.81,4747.23,56.91,3,26701815.72,3,5772227.55,30740.14,7.48,1794
3,614.77,123273.63,289978.54,8269.99,96.84,2,271163876.20,1,5781818.21,25996.11,21.38,810
6,520.13,139499.54,39789.03,3760.58,75.24,2,81713627.01,3,12103526.81,12564.25,42.85,983
2,623.91,394166.61,279977.49,1375.89,79.57,2,270891932.10,1,6353156.47,49027.99,64.86,54
3,595.20,226607.04,397939.51,1991.49,58.78,4,391445782.50,1,7043414.58,22200.60,53.82,2716
5,418.46,146852.55,253919.93,989.32,89.10,3,96678716.41,1,7399341.29,49171.11,97.82,546
3,528.23,476255.10,30720.07,3919.42,98.70,1,233276994.60,2,9068925.08,8113.04,48.42,2082
3,674.88,349638.95,428325.33,2665.29,72.14,1,404224505.90,3,4822410.82,2533.22,94.17,834
2,70.48,238986.63,367517.84,3626.45,62.94,2,347527634.50,2,7774189.84,41378.74,13.54,4165
2,699.73,439390.09,64690.87,6097.83,53.46,2,107582961.60,2,2281958.23,1966.88,42.01,992
3,206.18,437194.37,249103.07,1590.35,62.34,3,412085114.90,1,14343021.85,36677.11,7.30,3378
7,541.89,72215.77,55644.69,3791.83,53.11,3,230891317.30,3,19572647.60,47581.12,73.23,1868
3,152.89,208611.58,50702.13,1843.25,54.66,1,104887287.40,2,11849386.59,27325.05,21.57,4416
3,276.32,155471.12,342037.64,2435.31,50.45,2,3374261.35,2,8143197.71,8543.72,7.04,4699
6,675.13,463931.14,411061.41,9216.58,97.39,2,321651675.70,1,2360614.08,43929.41,88.91,3477
6,885.21,287990.70,226631.99,2336.04,98.86,1,320570828.70,1,15664007.79,41500.98,33.82,974
3,125.84,71124.24,44348.81,5842.52,83.41,1,221703886.70,2,8810353.31,47694.51,94.59,773
6,740.24,49347.58,46151.52,6773.83,89.70,1,378442701.30,2,12460182.55,9985.61,79.21,2839
1,135.33,259436.31,49554.98,411.37,89.00,4,146771397.90,2,19331938.45,41942.22,44.33,3797
2,785.61,283394.81,303587.42,6035.61,68.06,2,425420499.60,2,8098115.60,13968.54,22.88,3916
1,530.19,390442.82,49543.18,7919.79,59.53,1,142329801.70,2,3834492.05,41138.24,12.81,1569
2,114.68,59120.87,431523.67,8198.35,57.13,1,334136791.80,1,1086506.13,41287.62,6.01,1869
6,355.24,16523.80,78863.57,4668.92,59.54,4,176917816.20,3,797018.55,33446.43,25.31,698
4,767.03,93321.12,92939.37,3287.59,92.33,2,358659580.00,3,5433343.48,4283.11,81.95,2064
7,755.42,250890.81,161721.88,3922.57,78.88,3,127291408.80,3,13551430.19,40444.91,33.78,2762
6,59.96,42003.74,285241.13,6003.68,75.22,3,433373863.10,1,338166.38,3951.00,51.28,4560
4,60.70,375386.04,177797.19,2034.48,61.31,2,279428640.30,1,16089002.07,10810.55,93.54,3239
6,869.77,256984.35,416433.43,7746.75,56.49,3,237113553.60,2,2575789.51,44919.85,30.98,3846
5,686.08,412477.29,335121.39,6207.81,83.70,2,8675426.44,3,1021677.63,44123.54,82.87,3519
7,753.76,93673.50,96200.78,607.83,68.12,3,399615449.90,1,19547203.39,883.62,37.91,3364
6,552.33,475529.96,429100.94,3470.80,99.11,1,277914547.30,1,18354558.94,11059.34,23.99,2325
1,476.61,362790.65,333830.22,4148.68,80.45,1,194662637.20,1,13797278.12,26268.72,39.49,2816
1,824.57,172900.52,364501.40,4738.35,69.35,4,164319165.80,2,15191341.31,36189.40,4.30,533
4,331.82,61780.03,5428.16,117.85,56.79,4,157013723.50,3,15931335.84,1118.54,70.32,2000
5,393.69,373133.89,79432.50,9905.50,56.34,2,494247803.80,1,13065901.34,26423.62,91.22,691
6,320.71,222944.06,335330.07,6432.03,72.15,1,171059547.40,3,11910685.69,23968.40,2.05,2885
5,854.55,297233.14,173223.80,4029.91,95.11,4,330864049.30,2,16139263.32,24373.26,2.71,1435
4,628.94,389158.83,172435.05,3708.16,58.75,3,269966545.70,3,14788794.36,12490.25,11.18,2820
2,623.85,341069.61,388522.57,7349.72,71.10,2,127369747.10,3,14714264.94,9443.92,25.18,2225
2,918.46,318759.31,291856.84,5495.21,98.68,1,300641460.00,1,17884988.54,42368.10,39.44,3197
6,537.06,382780.07,408975.98,4018.85,73.79,1,358887173.80,2,12527548.66,20322.67,95.42,2999
3,744.76,285426.67,358819.50,2968.08,84.30,3,345813387.50,1,9352866.66,21350.29,34.77,2390
2,269.82,274394.15,99892.63,6466.96,52.00,3,5438169.23,1,18289126.61,34814.64,27.38,4790
2,541.32,215686.37,155824.06,6384.68,59.44,4,496521276.00,3,1594485.79,14554.28,78.13,684
5,784.36,76209.25,233862.70,8693.35,97.21,4,258224422.30,3,12067892.81,44135.10,43.58,1408
2,982.75,221732.36,20633.35,2024.60,58.28,2,443784490.60,2,10425024.09,36496.22,66.88,2363
6,219.59,436209.88,259546.62,9131.27,63.54,2,144214895.60,3,4790900.06,37007.86,33.66,780
7,560.31,49196.26,333436.77,6809.23,98.46,4,470840196.20,2,4731836.29,12413.93,85.97,4658
5,367.10,191608.58,235635.75,5950.49,55.96,2,424040205.50,2,2397090.32,8795.17,98.19,2001
5,974.30,120883.08,94782.77,2488.79,93.40,4,353658819.50,1,9285196.75,31246.46,42.07,251
2,825.55,442077.60,40939.16,7258.51,63.18,3,154768157.90,2,6196698.52,34177.59,31.70,1871
4,466.59,419281.36,256016.81,2108.61,88.79,1,449371219.90,3,6380922.67,15162.63,11.71,3055
7,688.34,225655.31,311396.12,6909.56,98.07,2,428072508.50,3,1614158.17,49023.84,26.33,4097
7,804.16,170687.24,442548.86,1981.89,89.60,2,105386087.40,3,17761022.87,10251.60,95.17,3914
5,310.64,59566.37,258882.30,4644.89,78.13,4,101832999.20,2,18404980.63,20286.50,40.31,2630
1,232.83,212942.37,196169.77,1004.89,50.32,4,216726380.70,1,15191617.13,19155.77,54.97,745
2,895.12,40326.50,247142.78,3771.10,81.80,2,327103699.50,3,12867349.80,26007.06,66.26,1112
2,310.04,107372.96,134637.10,2145.67,95.06,2,164069029.40,2,19668335.32,2885.65,36.77,3961
6,525.59,498578.38,398924.17,614.27,95.93,3,387707800.50,1,734586.88,31401.46,12.41,2384
7,125.32,261410.94,408998.96,1039.46,60.87,1,434998658.00,2,17159022.01,39576.81,71.68,524
1,953.79,17157.68,390284.67,437.84,51.37,1,96500929.70,3,16113180.56,43003.39,23.80,3558
6,899.70,6219.98,173077.91,2307.53,73.56,1,291993896.90,3,17290044.27,14556.43,49.18,1446
4,921.94,298430.66,235901.70,7691.91,91.67,1,123004747.90,3,4898588.38,19773.26,68.02,1072
4,63.06,115306.82,396605.39,696.66,86.12,1,133043147.70,1,13272333.13,14202.91,97.69,2330
6,53.17,1757.92,389352.91,9000.47,54.01,1,321565538.40,1,15505667.11,3958.62,32.73,583
5,403.58,405930.07,175916.05,5738.02,97.58,4,56937589.99,1,6373446.43,22797.15,37.43,3577
3,539.48,91090.57,158250.38,3312.50,71.54,1,484389402.80,1,1641318.33,47715.56,90.89,1766
3,782.98,157846.75,154999.95,8540.01,93.26,2,380096608.90,2,18696188.05,43528.33,54.98,1249
3,376.35,167583.33,334914.50,924.48,55.31,4,228477433.70,3,4089586.56,24522.53,77.71,1148
5,170.21,272170.63,218982.02,9732.15,53.06,3,401944154.50,1,8915711.50,48885.13,48.75,1402
6,77.98,234219.24,268786.59,9315.66,63.06,3,33891629.19,2,14141706.67,30205.38,79.61,4450
5,947.47,330730.74,54364.06,6960.25,82.92,1,488558516.50,1,7300371.57,11433.90,45.97,3164
6,70.64,446543.76,379454.13,1763.13,57.90,2,115960139.80,2,13968784.26,44587.42,84.84,2213
7,509.25,26142.15,243800.09,4096.75,55.83,2,136128763.00,1,9506464.06,24142.49,48.98,231
5,692.99,267440.31,219816.41,6063.95,98.06,4,245065789.50,1,9132064.15,44357.17,64.84,2500
2,739.99,253050.87,318827.33,8899.41,97.53,2,306306460.20,2,8279910.06,44517.37,16.93,3377
4,407.79,225004.21,288402.22,5766.60,72.45,1,355091469.40,1,4319000.76,2268.74,85.41,3664
2,364.90,304849.25,44785.70,5258.63,84.83,2,428574144.40,1,5659770.56,14499.81,74.59,1223
6,144.70,143034.61,330533.50,6187.44,74.98,2,106442249.30,3,11801827.29,33967.11,21.87,927
6,289.65,150655.10,393219.63,1618.88,57.48,4,196965925.10,1,8137722.11,7538.82,53.51,3321
7,45.56,275828.84,400580.58,2233.27,84.34,1,63323721.84,1,11445376.94,27592.53,5.59,704
7,397.25,379957.71,284012.18,313.29,60.91,1,462943841.30,3,18690495.39,473.65,46.10,3448
1,756.35,303093.21,337303.24,8356.08,69.94,4,486232721.10,3,1878970.55,4997.54,69.66,2716
3,103.58,135086.08,17905.44,3199.34,60.61,2,467385958.90,1,12776204.64,47229.00,19.47,860
5,122.79,259038.82,347495.65,4436.78,94.04,4,5309400.82,3,18829416.86,19063.31,75.77,1370
1,284.44,18287.52,205363.60,6005.31,73.92,1,328412313.60,1,5143158.73,13974.19,33.84,3198
7,102.07,340669.47,37499.03,7007.36,58.07,1,59842454.76,3,12671000.26,23750.51,38.56,855
6,572.37,197096.35,187004.49,6956.27,91.60,3,154818549.30,1,154597.46,713.60,83.02,3594
3,264.92,152448.37,140062.39,5441.65,86.93,4,482582270.70,2,2171028.03,15980.90,51.75,1044
6,630.89,140668.39,279923.63,6432.50,82.83,3,453018923.80,1,17519890.55,27426.90,88.71,2773
5,465.95,144523.62,232156.19,2937.67,95.29,1,407896732.60,2,7386551.08,29055.06,68.25,772
4,463.75,281264.10,295816.22,9805.33,93.30,2,295865570.70,1,4025555.02,9902.11,73.76,3055
3,484.61,465381.31,43170.56,7297.64,64.51,2,172924630.10,1,2814280.91,17844.57,26.04,4566
2,144.65,25992.33,59405.03,6229.13,57.67,1,265935149.80,2,7089092.81,44031.73,44.08,2149
7,369.19,473048.55,54661.25,3864.20,90.09,2,331227645.20,2,4878640.51,15363.98,30.55,4871
6,619.00,37811.72,144664.16,3771.99,84.30,2,131386561.30,2,14716514.04,32645.77,47.41,763
6,585.30,245996.27,139845.13,8023.53,74.85,1,239237036.80,2,7070040.46,30318.27,75.80,4339
3,680.08,233782.50,377442.49,9961.44,80.40,2,495455582.80,1,18627381.83,47896.67,18.63,578
2,604.91,237910.43,157453.86,3699.54,72.49,3,119046889.40,2,1569219.56,21506.71,14.37,4652
4,650.09,143600.58,224652.90,1044.79,99.52,3,342686874.90,3,9568590.06,2761.22,59.20,2772
1,78.90,471336.22,115642.79,4123.30,92.73,1,74678752.01,3,17589172.70,34588.03,32.32,1327
2,989.23,73841.94,35845.30,8014.31,81.74,1,316706491.60,1,413450.88,27113.98,88.68,1750
4,142.91,369945.08,195124.23,7280.58,79.31,4,60066615.61,2,18781925.64,4563.31,82.61,2266
4,861.74,452737.51,115874.13,7306.53,66.37,2,274577320.40,1,499671.18,13164.87,63.42,4849
3,496.94,462903.98,406171.82,6513.46,94.32,4,106925672.50,3,274967.12,45081.58,2.23,2560
6,714.51,102289.23,220292.31,9609.20,76.20,4,234083231.90,2,7763008.19,13638.98,25.90,326
4,296.10,404495.07,435098.00,7250.88,67.00,4,419972734.10,3,3001824.66,23781.38,60.73,4898
2,443.35,332687.88,149216.46,7861.12,57.67,2,380947677.60,1,5725811.91,20507.68,34.70,1924
6,714.40,461951.98,249095.38,710.21,93.35,1,48251750.55,1,18437907.64,14598.47,24.57,3740
5,110.05,125315.06,445612.87,8049.67,53.19,4,434916188.60,1,11416915.64,48984.58,7.88,4359
6,379.44,170660.27,293694.66,651.81,81.73,1,164170471.00,1,16255446.57,4896.72,20.19,4148
5,22.42,139113.81,33033.30,9681.29,99.64,2,434167213.80,1,3356334.97,4459.73,34.45,2762
3,500.97,191110.29,434182.54,9034.78,64.95,3,182460808.10,2,9533840.89,18636.79,79.80,3617
5,324.95,58086.44,165672.95,5880.18,69.71,1,334866869.20,2,13848707.17,48805.22,19.89,4693
2,434.10,22855.24,242835.67,1137.83,84.75,1,71140950.03,3,15845482.77,39737.95,4.73,4292
2,428.61,113262.95,341070.89,3663.21,70.95,2,200428269.70,1,17825527.61,19335.51,55.99,1356
6,584.61,319909.34,396656.36,9691.30,87.60,4,309339794.90,2,7558189.79,39547.79,86.58,3719
7,599.69,101179.26,253473.51,3833.42,63.94,1,359055377.00,2,14713257.35,35099.37,1.45,785
1,110.72,132765.28,39393.65,178.01,73.12,4,266141368.70,2,13893359.95,39389.12,81.05,115
7,667.39,14351.09,431802.64,8339.30,71.75,4,75093611.59,3,4854349.88,49994.75,3.12,2670
6,901.40,96717.33,205924.67,3301.62,68.56,4,418610001.80,1,1991820.89,39475.05,15.68,883
5,466.80,497182.28,13554.44,3709.31,93.71,4,102849541.30,1,18100077.34,19470.01,52.03,4001
3,268.58,386051.72,215880.33,6024.42,71.56,3,404478755.30,3,17160680.86,3605.72,68.21,4683
3,867.95,452413.53,402051.41,7356.39,55.83,4,460083762.60,1,5133779.08,17083.49,42.01,1030
2,388.95,422757.40,63561.16,2101.80,67.41,1,430807654.40,3,14194239.04,19326.73,58.23,4425
2,835.12,332070.03,248268.76,7303.44,67.80,3,391135590.50,3,16552073.82,47594.72,28.28,4849
5,573.02,1511.70,245007.04,3144.77,69.86,4,313745296.00,1,3470809.55,10213.45,66.38,3433
1,649.80,193829.77,314619.90,1139.08,51.95,4,332499097.20,1,1912963.11,5791.40,47.74,2703
1,758.34,217534.27,332156.50,6294.33,97.37,4,359762281.80,3,3557788.02,25074.88,97.59,4947
7,782.21,125797.89,319066.10,7116.98,57.77,1,376033480.40,2,4716814.38,46771.28,19.41,3343
5,893.01,282746.66,447120.05,1682.84,82.91,4,410250401.40,2,4060585.36,36869.78,95.32,3077
2,454.29,253989.15,59221.68,5175.61,72.05,4,417655423.90,3,9178046.43,23806.00,54.94,19
7,980.27,154924.75,221741.09,6672.92,58.20,1,213738119.50,2,17069021.35,902.38,55.02,3316
2,192.75,10196.16,205590.81,7966.11,95.86,2,429462261.40,1,11411102.89,11377.01,3.87,4240
4,444.25,462794.20,107798.41,9214.43,84.79,1,12850292.71,1,19826555.91,14006.73,80.60,679
2,687.85,54149.76,94417.50,9184.51,58.66,4,100653058.10,3,9876593.26,46144.20,44.79,4691
7,575.74,187862.25,199872.62,3604.98,83.67,2,387480500.90,3,10498409.41,23648.47,85.94,3010
3,948.36,26456.97,305717.53,4784.51,84.41,3,155275928.30,1,17521750.57,11666.39,85.23,2875
7,163.98,392308.41,150582.88,2257.40,80.14,4,204389187.10,3,1062886.49,22943.98,65.56,1285
3,904.12,359837.64,88629.89,2619.92,58.87,2,140727178.60,1,7595687.07,2690.71,61.78,3039
4,501.65,472139.27,410406.50,524.70,60.21,2,387837248.50,1,10289042.31,48195.86,65.88,1926
4,388.00,275694.70,226153.95,9304.87,79.07,2,289840371.20,1,14951614.14,9912.85,49.49,3773
2,453.74,214010.20,98340.26,6382.87,66.28,3,210760375.90,1,8759071.34,12988.16,38.74,4167
7,500.85,93616.50,423120.74,765.40,81.55,3,361366481.00,1,10192356.28,10621.28,53.50,457
2,844.03,75618.73,277202.60,7298.85,99.91,3,57981738.99,2,14958266.28,11051.79,29.78,4764
4,906.63,216891.26,438770.84,8720.24,86.88,4,244408842.10,3,17806483.22,46850.63,24.78,4744
2,929.49,391734.63,200782.77,2209.72,70.83,3,102016463.00,3,720713.49,44992.25,41.94,2805
7,272.38,164151.57,397826.16,897.13,79.94,3,122312413.90,2,1824184.47,43348.48,2.36,167
4,935.03,367153.03,398959.95,6065.03,59.76,1,132423826.80,2,3514793.82,29852.88,1.99,1029
2,786.90,255258.76,230411.21,8699.71,86.41,1,424380033.20,3,13565620.75,18621.74,51.55,2837
5,807.94,357380.45,426396.94,3874.43,52.76,3,132125160.50,2,13915513.37,20232.71,30.61,3529
1,306.90,306380.03,40730.54,7180.98,85.30,3,432780613.70,2,1574300.12,5308.30,73.12,4707
7,227.90,428632.20,175283.89,8202.92,51.73,4,136670784.80,3,12354350.34,4980.93,48.04,1607
4,186.44,58786.97,294528.17,861.05,58.57,4,167019379.50,3,14700647.78,19568.24,81.98,2403
1,174.23,340332.66,154192.68,855.38,54.04,4,116514154.00,2,595183.98,33215.79,94.91,565
1,316.21,159320.95,138632.05,5607.72,67.09,3,385844953.60,2,9601813.68,43002.44,81.80,2665
1,105.55,216586.15,264843.66,5487.30,54.71,3,348962780.50,2,12026056.24,46544.36,37.05,331
4,664.55,320258.86,392311.30,5228.00,76.24,3,219075676.70,2,12116914.94,26566.67,53.00,3373
6,643.60,317042.17,103370.14,9077.52,86.63,1,154553178.20,3,8031821.84,10802.38,10.86,2729
1,463.87,436239.29,370831.56,4902.80,94.46,1,291243877.20,1,11700851.62,21739.97,61.64,3642
1,278.10,40536.71,17208.48,1218.00,79.81,1,68757025.50,2,19168448.41,23087.86,88.21,4054
7,720.31,331328.71,209920.19,329.70,76.47,3,410166465.50,1,722593.95,27927.04,62.13,465
5,486.44,194920.66,201370.45,6279.11,80.18,3,367370619.00,2,7938810.31,43428.62,41.39,2337
5,594.75,391068.96,331159.80,4683.69,57.66,1,246940907.50,2,10123802.77,21504.24,98.42,3908
6,453.09,391159.40,447687.54,6568.14,95.81,1,233676618.20,3,11258690.19,14740.11,61.70,1438
5,590.92,99147.49,409270.77,3871.44,80.24,3,244265689.50,1,4762931.22,13643.99,95.19,4634
1,780.14,394775.41,427522.60,3168.79,87.63,4,126428720.50,2,8711782.84,43996.55,16.43,4282
3,947.09,86797.16,180041.57,9515.31,81.90,2,468197316.70,2,729705.13,44348.69,26.65,2848
6,748.45,404331.62,410747.15,7777.01,80.48,2,396167483.30,3,19014577.79,24927.79,44.39,4509
2,428.82,492547.14,205946.80,8005.98,84.74,3,46657862.35,3,10239283.94,44820.21,1.86,4812
1,320.36,165177.45,157572.21,8424.52,72.31,4,126329879.30,2,1745000.37,14679.80,8.39,1064
4,470.18,59646.28,37385.15,2738.65,56.05,3,258163544.50,2,3406252.87,49328.23,3.52,1760
4,103.46,243740.10,145922.97,6359.87,50.57,2,470809033.70,1,8310448.78,21643.64,4.35,4852
1,105.64,117597.29,261489.73,1250.60,99.47,1,454268957.80,3,5345797.46,30782.90,25.13,4656
7,176.13,242759.09,445318.07,7047.45,90.63,1,494674679.70,3,5128036.50,21900.15,80.24,516
5,503.59,206803.03,211688.24,4876.55,60.30,4,214870075.90,3,415136.38,33257.79,54.62,538
4,72.84,366066.45,353219.36,8478.91,60.68,2,362116729.50,3,9910062.11,29661.21,53.55,3791
3,964.37,207188.68,120292.71,7114.19,87.21,4,52559853.44,1,6615116.39,23433.11,65.88,2239
2,368.31,389575.86,358453.63,3507.95,56.62,4,318584690.30,1,16050249.13,4261.53,69.84,4231
3,505.24,402051.43,338413.40,3265.78,53.39,3,143443826.00,3,7704023.05,174.59,32.64,1450
2,518.62,176454.30,440938.27,5959.44,99.50,3,91043230.43,3,4953300.17,16663.31,18.01,4278
7,651.70,232394.29,15186.65,3927.06,95.65,4,423245979.80,3,2658641.90,40811.92,2.53,3334
5,810.99,106306.92,87177.62,9717.01,81.47,2,220336680.30,2,13287124.13,47894.77,57.07,1943
4,709.60,125608.51,27967.09,8453.29,99.44,2,40973060.15,2,14567143.48,22343.61,51.44,1929
2,332.44,43219.57,198109.58,2486.37,80.90,3,249209822.60,1,16187880.68,33919.37,90.94,4145
3,249.03,392761.74,343508.52,1436.34,92.29,4,115669715.20,3,1807765.86,48581.77,31.40,602
4,756.55,294160.86,315530.47,7652.13,70.14,3,57586803.65,3,4867306.16,29960.31,14.30,1568
1,969.02,8685.27,403986.34,3268.35,64.62,4,314285347.30,1,2259461.45,44088.28,59.81,1061
6,535.54,39991.91,118363.03,1413.87,78.19,3,57196929.27,3,11697596.95,39941.74,30.22,4731
6,597.95,221156.69,333394.79,7909.40,72.35,1,174084623.50,2,16978002.37,44834.23,79.15,1177
2,550.82,419095.93,293703.39,1080.15,62.73,1,144435322.30,2,6165612.66,35712.00,90.30,1871
6,194.44,320131.41,383773.21,3438.16,58.23,3,285172060.80,3,8227276.87,49786.53,18.12,4026
1,164.47,67843.17,280612.35,2927.83,62.67,3,469603979.60,2,948609.67,47865.23,62.26,4076
2,541.05,406518.21,5871.88,4497.23,84.77,1,367374529.30,1,259454.03,47402.76,31.64,1723
